Macrotrends Data Download,,,
,,,
Azerbaijan Inflation Rate 1992-2024,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, , , 
date, Inflation Rate (%), Annual Change, 
31/12/1992,-10.6301,,
31/12/1993,1128,1138.63,
31/12/1994,1662.2159,534.22,
31/12/1995,411.7596,-1250.46,
31/12/1996,19.7948,-391.96,
31/12/1997,3.6743,-16.12,
31/12/1998,-0.7727,-4.45,
31/12/1999,-8.5252,-7.75,
31/12/2000,1.805,10.33,
31/12/2001,1.5472,-0.26,
31/12/2002,2.7712,1.22,
31/12/2003,2.2339,-0.54,
31/12/2004,6.7089,4.48,
31/12/2005,9.6795,2.97,
31/12/2006,8.3289,-1.35,
31/12/2007,16.6998,8.37,
31/12/2008,20.8491,4.15,
31/12/2009,1.457,-19.39,
31/12/2010,5.7269,4.27,
31/12/2011,7.8583,2.13,
31/12/2012,1.0662,-6.79,
31/12/2013,2.4157,1.35,
31/12/2014,1.3734,-1.04,
31/12/2015,4.0277,2.65,
31/12/2016,12.4434,8.42,
31/12/2017,12.9359,0.49,
31/12/2018,2.2685,-10.67,
31/12/2019,2.6106,0.34,
31/12/2020,2.7598,0.15,
31/12/2021,6.6503,3.89,
31/12/2022,13.8523,7.2,
